trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",25,5,24.899188669782664,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",25,13,22.9074441649411,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,0,-2.489337504596069,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,4,20.82735971234666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,20,25.907561694395117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,17,14.378359728936482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,20.729494805912353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,14,12.187555702819099,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,14,16.748377912755494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,2,56.16446003709921,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,31.735712610420546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,19.777960186633074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,9.394157343338769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,26.064605468105654,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
